 Date,JD,RA,DEC,Dist_AU
 2023-Feb-04 08:00,2459979.833333333,00 25 15.24,+01 27 28.3,5.50463855320577
 2023-Feb-04 16:00,2459980.166666667,00 25 29.51,+01 29 03.2,5.50879584848186
 2023-Feb-05 00:00,2459980.500000000,00 25 43.61,+01 30 38.4,5.51289921941723
 2023-Feb-05 08:00,2459980.833333333,00 25 57.78,+01 32 13.7,5.51707769621210
 2023-Feb-05 16:00,2459981.166666667,00 26 12.17,+01 33 49.3,5.52118785017407
 2023-Feb-06 00:00,2459981.500000000,00 26 26.39,+01 35 25.2,5.52524474056468
 2023-Feb-06 08:00,2459981.833333333,00 26 40.67,+01 37 01.2,5.52937628205363
 2023-Feb-06 16:00,2459982.166666667,00 26 55.17,+01 38 37.4,5.53343847236539
 2023-Feb-07 00:00,2459982.500000000,00 27 09.50,+01 40 13.9,5.53744864013005
 2023-Feb-07 08:00,2459982.833333333,00 27 23.89,+01 41 50.5,5.54153309762311
 2023-Feb-07 16:00,2459983.166666667,00 27 38.51,+01 43 27.4,5.54554669569311
 2023-Feb-08 00:00,2459983.500000000,00 27 52.95,+01 45 04.5,5.54950906720130
 2023-Feb-08 08:00,2459983.833333333,00 28 07.46,+01 46 41.7,5.55354555188265
 2023-Feb-08 16:00,2459984.166666667,00 28 22.18,+01 48 19.2,5.55751033310003
 2023-Feb-09 00:00,2459984.500000000,00 28 36.73,+01 49 57.0,5.56142499883100
 2023-Feb-09 08:00,2459984.833333333,00 28 51.35,+01 51 34.8,5.56541314012544
 2023-Feb-09 16:00,2459985.166666667,00 29 06.19,+01 53 12.9,5.56932803028267
 2023-Feb-10 00:00,2459985.500000000,00 29 20.84,+01 54 51.2,5.57319371723914
 2023-Feb-10 08:00,2459985.833333333,00 29 35.57,+01 56 29.6,5.57713267658872
 2023-Feb-10 16:00,2459986.166666667,00 29 50.51,+01 58 08.3,5.58099731053126
 2023-Feb-11 00:00,2459986.500000000,00 30 05.28,+01 59 47.2,5.58481351456870
 2023-Feb-11 08:00,2459986.833333333,00 30 20.12,+02 01 26.2,5.58870222174350
 2023-Feb-11 16:00,2459987.166666667,00 30 35.16,+02 03 05.5,5.59251534257009
 2023-Feb-12 00:00,2459987.500000000,00 30 50.03,+02 04 45.0,5.59628130971957
 2023-Feb-12 08:00,2459987.833333333,00 31 04.97,+02 06 24.5,5.60011967622923
 2023-Feb-12 16:00,2459988.166666667,00 31 20.12,+02 08 04.3,5.60388130352723
 2023-Feb-13 00:00,2459988.500000000,00 31 35.09,+02 09 44.4,5.60759647811271
 2023-Feb-13 08:00,2459988.833333333,00 31 50.14,+02 11 24.5,5.61138338333569
 2023-Feb-13 16:00,2459989.166666667,00 32 05.38,+02 13 04.8,5.61509252175685
 2023-Feb-14 00:00,2459989.500000000,00 32 20.45,+02 14 45.4,5.61875648153384
 2023-Feb-14 08:00,2459989.833333333,00 32 35.60,+02 16 26.0,5.62249175482729
 2023-Feb-14 16:00,2459990.166666667,00 32 50.95,+02 18 06.9,5.62614785994961
 2023-Feb-15 00:00,2459990.500000000,00 33 06.12,+02 19 48.1,5.62975951958283
 2023-Feb-15 08:00,2459990.833333333,00 33 21.37,+02 21 29.2,5.63344207552509
 2023-Feb-15 16:00,2459991.166666667,00 33 36.82,+02 23 10.6,5.63704467951693
 2023-Feb-16 00:00,2459991.500000000,00 33 52.08,+02 24 52.3,5.64060404309228
 2023-Feb-16 08:00,2459991.833333333,00 34 07.43,+02 26 33.9,5.64423360571058
 2023-Feb-16 16:00,2459992.166666667,00 34 22.97,+02 28 15.8,5.64778171921189
 2023-Feb-17 00:00,2459992.500000000,00 34 38.33,+02 29 58.0,5.65128741558658
 2023-Feb-17 08:00,2459992.833333333,00 34 53.78,+02 31 40.1,5.65486291896302
 2023-Feb-17 16:00,2459993.166666667,00 35 09.41,+02 33 22.6,5.65835602134646
 2023-Feb-18 00:00,2459993.500000000,00 35 24.87,+02 35 05.2,5.66180755633100
 2023-Feb-18 08:00,2459993.833333333,00 35 40.41,+02 36 47.8,5.66532797856450
 2023-Feb-18 16:00,2459994.166666667,00 35 56.14,+02 38 30.7,5.66876471313592
 2023-Feb-19 00:00,2459994.500000000,00 36 11.68,+02 40 13.8,5.67216108190800
 2023-Feb-19 08:00,2459994.833333333,00 36 27.32,+02 41 56.9,5.67562613453134
 2023-Feb-19 16:00,2459995.166666667,00 36 43.14,+02 43 40.3,5.67900653649071
 2023-Feb-20 00:00,2459995.500000000,00 36 58.77,+02 45 23.8,5.68234734460103
